"fecha","indice_serie_original_base_2004"
2009-12-01,126.286563805558
2010-01-01,121.505678529232
2010-02-01,119.82280209204
2010-03-01,136.895501620461
2010-04-01,145.774131493018
2010-05-01,158.110631530439
2010-06-01,149.861552008054
2010-07-01,139.505686628727
2010-08-01,137.245980687156
2010-09-01,136.696426721623
2010-10-01,135.138844506923
2010-11-01,139.598823283722
2010-12-01,138.477649512717
2011-01-01,133.076919718552
2011-02-01,129.509886842622
2011-03-01,147.001839095024
2011-04-01,151.035823039618
2011-05-01,166.178342081017
2011-06-01,156.693658512255
2011-07-01,146.378088280468
2011-08-01,146.398505384719
2011-09-01,147.170906821271
2011-10-01,145.050002427799
2011-11-01,146.361645124166
2011-12-01,143.361657853743
2012-01-01,136.194081293613
2012-02-01,132.360525940741
2012-03-01,147.441016244958
2012-04-01,145.520278318545
2012-05-01,157.40418371936
2012-06-01,149.033101741505
2012-07-01,146.862799619037
2012-08-01,145.69325698881
2012-09-01,142.471536517314
2012-10-01,147.231302955301
2012-11-01,146.373431844686
2012-12-01,143.585058099581
2013-01-01,136.517071825044
2013-02-01,132.795321964955
2013-03-01,149.403945667365
2013-04-01,155.941595841577
2013-05-01,167.97347912253
2013-06-01,156.271864430241
2013-07-01,150.731001298259
2013-08-01,148.421449530501
2013-09-01,147.004844188133
2013-10-01,148.693959395975
2013-11-01,145.69589762827
2013-12-01,142.576879127126
2014-01-01,137.969697395376
2014-02-01,132.486306872431
2014-03-01,144.53782808347
2014-04-01,152.341435461471
2014-05-01,164.203243902561
2014-06-01,153.803524029901
2014-07-01,145.422813734086
2014-08-01,140.105303966059
2014-09-01,141.718733199557
2014-10-01,143.349397417613
2014-11-01,140.877596898263
2014-12-01,140.435937749128
2015-01-01,133.99818907035
2015-02-01,132.627886955774
2015-03-01,149.409012983328
2015-04-01,157.484599537314
2015-05-01,168.886100589834
2015-06-01,162.937390009122
2015-07-01,151.844796343063
2015-08-01,146.465067204862
2015-09-01,145.882323718601
2015-10-01,147.045876153416
2015-11-01,146.175581385648
2015-12-01,141.942118734625
2016-01-01,134.746450413497
2016-02-01,134.232361038625
2016-03-01,150.087894236695
2016-04-01,153.250674366629
2016-05-01,163.513608086905
2016-06-01,153.662095240998
2016-07-01,143.731100981801
2016-08-01,143.674102648605
2016-09-01,142.00773744282
2016-10-01,141.136863298081
2016-11-01,144.93832064073
2016-12-01,142.590145160319
2017-01-01,136.632659483162
2017-02-01,132.158516339822
2017-03-01,152.620958559057
2017-04-01,151.946344804487
2017-05-01,168.389209469367
2017-06-01,161.035685469452
2017-07-01,150.30605012392
2017-08-01,149.255342773841
2017-09-01,146.386559657753
2017-10-01,149.385949666014
2017-11-01,151.926042852026
2017-12-01,146.783384909224
2018-01-01,142.740912606172
2018-02-01,138.818040351657
2018-03-01,155.857319535769
2018-04-01,151.524543983943
2018-05-01,159.566692377916
2018-06-01,151.125763233455
2018-07-01,145.963524430004
2018-08-01,146.765960034139
2018-09-01,137.746569718648
2018-10-01,142.843275984567
2018-11-01,140.592407325335
2018-12-01,136.251615969056
2019-01-01,134.536239856695
2019-02-01,132.267888612736
2019-03-01,144.963254955749
2019-04-01,149.916221403522
2019-05-01,164.13569907592
2019-06-01,150.858971741131
2019-07-01,146.77702964007
2019-08-01,141.27693468084
2019-09-01,134.877066479936
2019-10-01,141.639336617013
2019-11-01,137.771829669331
2019-12-01,135.765154527635
2020-01-01,133.891086089572
2020-02-01,128.973638746598
2020-03-01,128.211060740256
2020-04-01,113.295034445801
2020-05-01,131.029569197349
2020-06-01,132.521965266488
2020-07-01,127.463689469795
2020-08-01,125.183893759847
2020-09-01,127.17507609335
2020-10-01,131.345501894521
2020-11-01,132.068655252993
2020-12-01,133.854365594615
2021-01-01,131.521537397348
2021-02-01,126.239266968376
2021-03-01,145.956900103604
2021-04-01,147.280844018623
2021-05-01,151.169322338691
2021-06-01,148.979617108605
2021-07-01,142.425913060973
2021-08-01,140.974940728036
2021-09-01,141.296089089409
2021-10-01,139.514758696892
2021-11-01,143.751877617714
2021-12-01,147.229878322095
2022-01-01,139.637961624902
2022-02-01,137.849513530395
2022-03-01,153.930850776312
2022-04-01,157.661692116283
2022-05-01,164.689363089987
2022-06-01,161.454834362472
2022-07-01,152.445387694764
2022-08-01,151.465739025198
2022-09-01,149.17434933724
2022-10-01,146.554394989072
2022-11-01,148.030494435219
2022-12-01,146.180808004896
2023-01-01,143.030190287808
2023-02-01,137.262027112065
2023-03-01,155.060567636349
2023-04-01,150.021084921151
2023-05-01,153.772405702969
2023-06-01,152.557031890549
2023-07-01,150.222973708495
2023-08-01,151.942038157496
2023-09-01,148.432243240862
2023-10-01,147.50696056698
2023-11-01,146.359495292439
2023-12-01,139.335765898049
2024-01-01,137.546027779234
2024-02-01,133.637224020505
2024-03-01,142.568619918428
2024-04-01,147.265122631245
2024-05-01,156.77658295329
2024-06-01,147.365172093703
2024-07-01,149.697535659285
2024-08-01,147.327577143307
2024-09-01,144.84377067736
2024-10-01,147.994623052318
2024-11-01,148.069358256608
2024-12-01,148.567397819954
2025-01-01,146.295979883683
2025-02-01,141.202244544414
2025-03-01,150.406305877726
2025-04-01,158.740296133668
2025-05-01,164.877557847577
2025-06-01,156.595165790575
2025-07-01,153.947892498903
2025-08-01,150.566350777516
2025-09-01,151.790603747929
2025-10-01,152.770484952548
2025-11-01,147.607990452717
